# description: calculated marker genes for adrenal medullary cell populations
# source: Supplementary Table 5 of Jansky et al, Nat Gen 53, 683–693 (2021)
# doi: 10.1038/s41588-021-00806-1
cell_type,gene
cycling SCPs,ZNF536
cycling SCPs,LMNB1
cycling SCPs,CDK1
cycling SCPs,CCDC18
cycling SCPs,DLGAP1
cycling SCPs,PTPN14
cycling SCPs,TMPO
cycling SCPs,OLFML2A
cycling SCPs,SEMA3C
cycling SCPs,VRK1
cycling SCPs,WDHD1
cycling SCPs,PRKCA
cycling SCPs,DAAM2
cycling SCPs,SRGAP2
cycling SCPs,CHST9
cycling SCPs,CTD-3088G3.8
cycling SCPs,PRC1
cycling SCPs,NCAPG2
cycling SCPs,DNAJC1
cycling SCPs,EPB41L2
cycling SCPs,MTBP
cycling SCPs,PRELID2
cycling SCPs,CHST11
cycling SCPs,KCNIP1
cycling SCPs,LHFPL2
cycling SCPs,LINC00478
cycling SCPs,ST5
cycling SCPs,CDK5RAP2
cycling SCPs,GAB1
cycling SCPs,PRICKLE2
cycling SCPs,BCHE
cycling SCPs,ITGA2
cycling SCPs,FGD4
cycling SCPs,ENC1
cycling SCPs,FOXO1
cycling SCPs,ZNF521
cycling SCPs,AFF2
cycling SCPs,RAI14
cycling SCPs,ST6GALNAC3
cycling SCPs,VCL
cycling SCPs,AC011043.1
cycling SCPs,RBPMS
cycling SCPs,PPAP2A
cycling SCPs,FBN1
cycling SCPs,XRCC4
cycling SCPs,PALLD
cycling SCPs,ITGAV
cycling SCPs,RGL1
cycling SCPs,TMTC2
cycling SCPs,RTTN
cycling SCPs,CEP135
cycling SCPs,SUCLG2
cycling SCPs,GPC6
cycling SCPs,WIPF1
cycling SCPs,MAP3K1
cycling SCPs,LIMA1
cycling SCPs,PEAK1
cycling SCPs,HS3ST4
cycling SCPs,MAP4K4
cycling SCPs,ZNF730
cycling SCPs,E2F3
cycling SCPs,OXR1
cycling SCPs,LPP
cycling SCPs,SIPA1L1
cycling SCPs,ITGA1
cycling SCPs,NR6A1
cycling SCPs,SORCS1
cycling SCPs,DDAH1
cycling SCPs,SDK2
cycling SCPs,ROR1
cycling SCPs,SCLT1
cycling SCPs,COL4A2
cycling SCPs,OSBPL1A
cycling SCPs,HUNK
cycling SCPs,TNIK
cycling SCPs,EFCAB11
cycling SCPs,G2E3
cycling SCPs,MICAL3
cycling SCPs,CKAP2
cycling SCPs,GULP1
cycling SCPs,RBMS3
cycling SCPs,ITGA6
cycling SCPs,LSAMP
cycling SCPs,SYNE2
cycling SCPs,RFC3
cycling SCPs,RBL1
cycling SCPs,OAF
cycling SCPs,PHLPP1
cycling SCPs,DST
cycling SCPs,MIR503HG
cycling SCPs,PTPN13
cycling SCPs,MEGF9
cycling SCPs,FRAS1
cycling SCPs,HELLS
cycling SCPs,LAMA4
cycling SCPs,RP11-222A11.1
cycling SCPs,AQP4-AS1
cycling SCPs,TBX2
cycling SCPs,FAM13A
cycling SCPs,PDZRN3
cycling SCPs,CENPP
cycling SCPs,TCF7L2
cycling SCPs,CYP7B1
cycling SCPs,C4orf21
cycling SCPs,ERBB2IP
cycling SCPs,POLA1
cycling SCPs,IL1RAP
cycling SCPs,CHD7
cycling SCPs,SKA2
cycling SCPs,RALGPS2
cycling SCPs,LRCH1
cycling SCPs,FRMD4A
cycling SCPs,PKD2
cycling SCPs,CTDSPL
cycling SCPs,CEP192
cycling SCPs,BICC1
cycling SCPs,CNTLN
cycling SCPs,FBXL7
cycling SCPs,RP11-308N19.1
cycling SCPs,DGKH
cycling SCPs,SYNPR
cycling SCPs,GPC3
cycling SCPs,LMCD1-AS1
cycling SCPs,PKP4
cycling SCPs,GTDC1
cycling SCPs,HP1BP3
cycling SCPs,MIR4435-1HG
cycling SCPs,ARNT2
cycling SCPs,SIPA1L2
cycling SCPs,MMP17
cycling SCPs,CTNNA3
cycling SCPs,TRAF3IP2-AS1
cycling SCPs,KIAA0922
cycling SCPs,COL18A1
cycling SCPs,FREM1
cycling SCPs,EFNB2
cycling SCPs,ID3
cycling SCPs,FAM3C
cycling SCPs,C10orf11
cycling SCPs,RAP1GDS1
cycling SCPs,XKR4
cycling SCPs,PTPN12
cycling SCPs,PACSIN2
cycling SCPs,PRICKLE1
cycling SCPs,CEP70
cycling SCPs,NUCKS1
cycling SCPs,SPATA6
cycling SCPs,ANKRD44
cycling SCPs,CKAP5
cycling SCPs,WHSC1
cycling SCPs,CCDC14
cycling SCPs,PDE4D
cycling SCPs,ARHGEF12
cycling SCPs,USP53
cycling SCPs,LGR4
cycling SCPs,SH3D19
cycling SCPs,MVB12B
cycling SCPs,PTN
cycling SCPs,DNAH14
cycling SCPs,GRIK2
cycling SCPs,GPSM2
cycling SCPs,WDPCP
cycling SCPs,KHDRBS2
cycling SCPs,MED12L
cycling SCPs,NRIP1
cycling SCPs,AFF3
cycling SCPs,RP11-141M1.3
cycling SCPs,RP11-444D3.1
cycling SCPs,NPAS3
cycling SCPs,INPP4B
cycling SCPs,PCDH7
cycling SCPs,SVIL
cycling SCPs,GPR98
cycling SCPs,MMP16
cycling SCPs,NLGN4X
cycling SCPs,LRRC7
Bridge,CDH9
Bridge,CSMD3
Bridge,VWDE
Bridge,CTTNBP2
Bridge,CTD-2545M3.8
Bridge,OLFM3
Bridge,CACNA2D1
Bridge,ZNF804A
Bridge,DPYD
Bridge,ERBB4
Bridge,RBMS1
Bridge,ASCL1
Bridge,FNDC5
Bridge,CCDC171
Bridge,NELL2
Bridge,RP11-282I1.1
Bridge,SAMD11
Bridge,DCC
Bridge,DPYD-AS1
Bridge,TBX2
Bridge,FAM160A1
Bridge,RP11-624C23.1
Bridge,DACH2
Bridge,RP11-776H12.1
Bridge,GREB1L
Bridge,PTCHD4
Bridge,CAMK4
Bridge,GLCE
Bridge,EML5
Bridge,TBX20
Bridge,ROBO2
Bridge,RP11-436K8.1
Bridge,MIAT
Bridge,TTL
Bridge,STARD4-AS1
Bridge,HAND2
Bridge,RP11-296E23.1
Bridge,NREP
Bridge,SHD
Bridge,KCNK2
Bridge,EPHA7
Bridge,MEIS1
Bridge,BCL11A
Bridge,HEATR5A
Bridge,KCNJ6
Bridge,HAND2-AS1
Bridge,TLX2
Bridge,NLGN1
Bridge,ZNF804B
Bridge,DLG2
Bridge,TEAD1
Bridge,NFIA
Bridge,LINC00511
Bridge,KCNT2
Bridge,MBD5
Bridge,HIST1H2AC
Bridge,ANKUB1
Bridge,CHRNA3
Bridge,PCDH17
Bridge,TENM1
Bridge,LINC01122
Bridge,RNF13
Bridge,CELF3
